2026-01-26 20:11:22,200 - chromadb.telemetry.product.posthog - ERROR - [posthog.py:59] - Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-01-26 20:11:22,201 - app.kb.vectordb - INFO - [vectordb.py:59] - Chroma 连接成功: ./storage/chroma_db
2026-01-26 20:17:34,951 - chromadb.telemetry.product.posthog - ERROR - [posthog.py:59] - Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-01-26 20:17:34,953 - app.kb.vectordb - INFO - [vectordb.py:59] - Chroma 连接成功: ./storage/chroma_db
2026-01-26 20:25:00,984 - chromadb.telemetry.product.posthog - ERROR - [posthog.py:59] - Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-01-26 20:25:00,989 - app.kb.vectordb - INFO - [vectordb.py:59] - Chroma 连接成功: ./storage/chroma_db
2026-01-26 20:27:03,444 - chromadb.telemetry.product.posthog - ERROR - [posthog.py:59] - Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-01-26 20:27:03,445 - app.kb.vectordb - INFO - [vectordb.py:59] - Chroma 连接成功: ./storage/chroma_db
2026-01-26 20:28:06,265 - openai._base_client - INFO - [_base_client.py:960] - Retrying request to /embeddings in 0.808997 seconds
2026-01-26 20:28:09,165 - httpx - INFO - [_client.py:1013] - HTTP Request: POST https://api.siliconflow.cn/v1/embeddings "HTTP/1.1 200 OK"
2026-01-26 20:28:09,190 - chromadb.telemetry.product.posthog - ERROR - [posthog.py:59] - Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-01-26 20:28:09,192 - app.kb.vectordb - INFO - [vectordb.py:59] - Chroma 连接成功: ./storage/chroma_db
2026-01-26 20:28:09,235 - chromadb.telemetry.product.posthog - ERROR - [posthog.py:59] - Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-01-26 20:28:09,237 - app.kb.vectordb - INFO - [vectordb.py:91] - 集合创建成功: chunks_1
2026-01-26 20:28:09,250 - chromadb.telemetry.product.posthog - ERROR - [posthog.py:59] - Failed to send telemetry event CollectionQueryEvent: capture() takes 1 positional argument but 3 were given
2026-01-26 20:28:09,251 - app.kb.vectordb - INFO - [vectordb.py:236] - 向量检索成功: 返回 0 条结果
2026-01-26 20:28:09,251 - app.services.kb_service - INFO - [kb_service.py:269] - 知识检索完成: 查询='什么是波利二相性？', 结果数=0
2026-01-26 20:28:09,305 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=page_view
2026-01-26 20:28:09,319 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:28:09,332 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=ask
2026-01-26 20:28:09,344 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:28:26,952 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=page_view
2026-01-26 20:28:26,980 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:28:27,013 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=ask
2026-01-26 20:28:27,168 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:28:27,204 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=link_click
2026-01-26 20:28:43,184 - httpx - INFO - [_client.py:1013] - HTTP Request: POST https://api.siliconflow.cn/v1/chat/completions "HTTP/1.1 200 OK"
2026-01-26 20:28:56,920 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=page_view
2026-01-26 20:28:56,945 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:28:56,969 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:28:56,995 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=view_recommend
2026-01-26 20:29:05,412 - httpx - INFO - [_client.py:1013] - HTTP Request: POST https://api.siliconflow.cn/v1/chat/completions "HTTP/1.1 200 OK"
2026-01-26 20:29:26,932 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=page_view
2026-01-26 20:29:26,950 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:26,989 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:27,009 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:29:27,027 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=view_recommend
2026-01-26 20:29:27,059 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:29:27,075 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=view_recommend
2026-01-26 20:29:36,682 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=page_view
2026-01-26 20:29:36,709 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:36,740 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=view_recommend
2026-01-26 20:29:36,757 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:29:36,779 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:36,809 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=view_recommend
2026-01-26 20:29:36,825 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:29:36,845 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:39,005 - httpx - INFO - [_client.py:1013] - HTTP Request: POST https://api.siliconflow.cn/v1/chat/completions "HTTP/1.1 200 OK"
2026-01-26 20:29:39,030 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:29:39,086 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=page_view
2026-01-26 20:29:39,103 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:39,121 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:29:39,136 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=view_recommend
2026-01-26 20:29:39,151 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:39,197 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:29:39,213 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:29:39,227 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=view_recommend
2026-01-26 20:29:39,243 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:39,260 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=view_recommend
2026-01-26 20:29:50,331 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=page_view
2026-01-26 20:29:50,353 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:29:50,368 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:50,385 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:50,398 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=view_recommend
2026-01-26 20:29:50,443 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:50,460 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:29:50,472 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=view_recommend
2026-01-26 20:29:50,484 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:50,498 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:29:50,512 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=view_recommend
2026-01-26 20:29:53,228 - httpx - INFO - [_client.py:1013] - HTTP Request: POST https://api.siliconflow.cn/v1/chat/completions "HTTP/1.1 200 OK"
2026-01-26 20:29:53,284 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=page_view
2026-01-26 20:29:53,307 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=view_recommend
2026-01-26 20:29:53,324 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:53,337 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:53,352 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:29:53,382 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=view_recommend
2026-01-26 20:29:53,396 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:29:53,427 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:53,448 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:29:53,465 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:53,481 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=view_recommend
2026-01-26 20:29:53,508 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=view_recommend
2026-01-26 20:29:53,526 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:29:55,690 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=page_view
2026-01-26 20:29:55,706 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:29:55,722 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:55,738 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=view_recommend
2026-01-26 20:29:55,752 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:55,796 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:55,809 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=button_click
2026-01-26 20:29:55,821 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=view_recommend
2026-01-26 20:29:55,834 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=form_submit
2026-01-26 20:29:55,867 - app.services.analytics_service - INFO - [analytics_service.py:50] - 学习事件已记录: user_id=3, event_type=view_recommend
